year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,winter,spring,summer,fall
1880,-.18,-.30,-.05,-.36,-.17,-.02,-.92,-.49,-.21,-.22,-.12,-.04,.05,.67,0.0,-.13,-.17,-.19
1881,-.09,-.18,-.01,-.30,.05,-.07,-.80,-.49,-.11,.03,.08,-.06,-.07,.59,-.17,.04,-.09,-.18
1882,-.10,-.20,-.01,-.26,-.07,.02,-1.39,-.28,-.04,-.10,-.05,.02,.04,.63,.07,-.10,-.17,-.16
1883,-.19,-.31,-.06,-.35,-.21,.01,-.35,-.62,-.18,-.24,-.17,-.02,.07,.50,-.31,-.16,-.11,-.18
1884,-.29,-.43,-.15,-.55,-.21,-.13,-1.31,-.61,-.37,-.23,-.18,-.19,-.02,.65,-.13,-.38,-.33,-.26
1885,-.31,-.39,-.24,-.56,-.15,-.25,-1.14,-.67,-.38,-.09,-.21,-.31,-.15,.82,-.38,-.36,-.36,-.20
1886,-.31,-.40,-.23,-.49,-.25,-.22,-1.22,-.48,-.36,-.25,-.25,-.22,-.20,.59,-.30,-.30,-.31,-.28
1887,-.34,-.39,-.30,-.43,-.32,-.28,-1.52,-.46,-.22,-.32,-.33,-.28,-.26,.32,-.50,-.34,-.26,-.25
1888,-.17,-.21,-.14,-.39,.07,-.29,-1.42,-.42,-.17,.06,.08,-.32,-.22,.16,-.35,-.28,-.14,-.02
1889,-.10,-.15,-.05,-.25,.05,-.16,-.80,-.19,-.17,-.01,.11,-.16,-.15,.45,.01,.05,-.14,-.25
1890,-.37,-.40,-.33,-.44,-.41,-.22,-1.23,-.54,-.23,-.34,-.49,-.18,-.27,.15,-.39,-.40,-.30,-.37
1891,-.23,-.26,-.21,-.40,-.12,-.21,-1.27,-.30,-.29,-.04,-.20,-.18,-.24,-.16,-.40,-.21,-.18,-.23
1892,-.26,-.36,-.16,-.38,-.30,-.08,-1.25,-.59,-.08,-.33,-.27,.02,-.21,.09,-.14,-.31,-.26,-.21
1893,-.31,-.43,-.19,-.44,-.38,-.07,-.84,-.50,-.32,-.42,-.35,.03,-.20,-.04,-.56,-.29,-.23,-.17
1894,-.30,-.37,-.23,-.30,-.35,-.25,-1.29,-.26,-.08,-.48,-.21,-.17,-.35,-.38,-.39,-.35,-.30,-.22
1895,-.21,-.26,-.16,-.34,-.08,-.26,-.87,-.44,-.16,-.13,-.02,-.21,-.32,-.58,-.34,-.25,-.18,-.09
1896,-.10,-.18,-.03,-.32,.10,-.15,-1.17,-.34,-.11,.05,.14,-.16,-.13,.25,-.17,-.24,-.06,.02
1897,-.11,-.15,-.06,-.30,.14,-.24,-.64,-.37,-.17,.10,.18,-.21,-.27,.40,-.09,-.06,-.10,-.12
1898,-.27,-.27,-.27,-.29,-.26,-.27,-1.12,-.14,-.17,-.24,-.28,-.29,-.21,.38,-.16,-.38,-.22,-.30
1899,-.17,-.19,-.16,-.17,-.15,-.20,-.97,.01,-.10,-.20,-.10,-.18,-.22,.58,-.27,-.25,-.18,.02
1900,-.08,-.06,-.09,-.15,.13,-.31,-.51,-.06,-.11,.07,.20,-.30,-.29,.27,-.22,-.06,-.11,-.01
1901,-.14,-.08,-.20,-.09,-.06,-.31,-.46,-.01,-.04,-.06,-.06,-.28,-.34,.26,-.11,-.03,-.15,-.22
1902,-.29,-.33,-.25,-.49,-.09,-.36,-1.49,-.39,-.29,-.07,-.10,-.30,-.43,-.05,-.16,-.31,-.31,-.32
1903,-.38,-.37,-.39,-.44,-.32,-.39,-.38,-.36,-.51,-.26,-.38,-.37,-.40,-.47,-.24,-.36,-.43,-.46
1904,-.48,-.47,-.49,-.47,-.51,-.44,-.18,-.54,-.51,-.47,-.55,-.39,-.49,-1.29,-.58,-.52,-.51,-.37
1905,-.27,-.29,-.25,-.36,-.14,-.36,-.08,-.16,-.56,-.17,-.11,-.34,-.37,-.31,-.43,-.29,-.26,-.17
1906,-.21,-.20,-.22,-.20,-.20,-.23,-.30,.02,-.32,-.21,-.19,-.21,-.23,-.69,-.24,-.14,-.21,-.26
1907,-.38,-.44,-.31,-.54,-.31,-.29,-.64,-.68,-.43,-.29,-.34,-.22,-.37,-1.18,-.34,-.36,-.37,-.33
1908,-.42,-.43,-.40,-.44,-.44,-.35,-.34,-.50,-.44,-.41,-.47,-.28,-.48,.70,-.39,-.45,-.41,-.42
1909,-.46,-.44,-.47,-.45,-.47,-.44,-.69,-.49,-.37,-.43,-.52,-.37,-.52,-.54,-.53,-.54,-.41,-.32
1910,-.41,-.41,-.42,-.36,-.49,-.37,-.62,-.14,-.43,-.49,-.49,-.31,-.45,.18,-.46,-.40,-.35,-.41
1911,-.41,-.37,-.45,-.36,-.42,-.47,-.29,-.35,-.39,-.40,-.44,-.42,-.52,.07,-.61,-.53,-.42,-.25
1912,-.34,-.44,-.24,-.55,-.18,-.35,-.56,-.71,-.45,-.26,-.10,-.35,-.29,-1.61,-.18,-.24,-.40,-.47
1913,-.34,-.41,-.26,-.39,-.30,-.33,-.56,-.24,-.44,-.44,-.16,-.26,-.40,-1.01,-.41,-.42,-.38,-.28
1914,-.14,-.17,-.11,-.21,-.07,-.17,-.48,-.07,-.24,-.12,-.02,-.15,-.18,-.34,-.02,-.23,-.20,-.10
1915,-.11,-.09,-.12,-.16,.00,-.21,-.50,-.06,-.13,.01,-.01,-.14,-.23,-1.96,-.07,-.02,-.15,-.16
1916,-.31,-.34,-.29,-.26,-.43,-.21,-.23,-.42,-.18,-.46,-.40,-.20,-.17,-1.02,-.11,-.28,-.34,-.31
1917,-.42,-.52,-.34,-.39,-.64,-.18,-.57,-.36,-.36,-.72,-.56,-.22,-.09,.09,-.65,-.54,-.28,-.27
1918,-.27,-.35,-.19,-.35,-.31,-.13,-1.14,-.15,-.27,-.35,-.28,-.05,-.22,-.26,-.45,-.37,-.31,-.08
1919,-.25,-.32,-.19,-.38,-.19,-.21,-.80,-.43,-.25,-.23,-.15,-.14,-.32,.22,-.22,-.19,-.31,-.25
1920,-.24,-.24,-.24,-.16,-.25,-.31,.06,-.05,-.29,-.36,-.14,-.18,-.48,-1.12,-.27,-.19,-.29,-.22
1921,-.16,-.06,-.27,.08,-.24,-.30,.02,.28,-.04,-.26,-.22,-.23,-.38,-.82,-.20,-.25,-.21,-.09
1922,-.26,-.23,-.29,-.18,-.31,-.27,-.35,-.29,-.08,-.31,-.32,-.24,-.28,-.26,-.29,-.22,-.28,-.24
1923,-.23,-.17,-.30,-.08,-.28,-.33,.16,-.02,-.20,-.30,-.26,-.26,-.41,-.52,-.26,-.35,-.27,-.11
1924,-.24,-.14,-.34,-.08,-.23,-.42,.31,-.14,-.15,-.23,-.24,-.38,-.46,-.51,-.14,-.17,-.26,-.26
1925,-.20,-.09,-.29,.02,-.23,-.37,-.15,.28,-.11,-.25,-.20,-.24,-.54,-.84,-.37,-.26,-.24,-.08
1926,-.08,.05,-.19,.07,.05,-.40,.49,.27,-.17,.03,.08,-.34,-.45,-.61,.13,-.06,-.19,-.07
1927,-.19,-.09,-.28,-.09,-.13,-.38,-.06,-.11,-.09,-.10,-.16,-.31,-.45,-1.36,-.23,-.30,-.20,-.03
1928,-.18,-.07,-.28,-.03,-.13,-.39,.59,-.06,-.18,-.12,-.13,-.29,-.48,-2.10,-.12,-.27,-.24,-.13
1929,-.34,-.30,-.37,-.33,-.25,-.45,.00,-.50,-.33,-.24,-.27,-.42,-.44,-1.05,-.39,-.35,-.33,-.14
1930,-.14,.02,-.29,.09,-.09,-.42,.42,.17,-.05,-.08,-.11,-.33,-.47,-2.57,-.36,-.18,-.16,-.01
1931,-.09,.05,-.22,.04,.06,-.42,.40,.09,-.10,.08,.04,-.42,-.40,-.39,-.12,-.15,-.03,-.05
1932,-.16,-.05,-.26,.06,-.18,-.34,.22,.32,-.16,-.20,-.16,-.20,-.53,-.97,-.04,-.14,-.25,-.15
1933,-.29,-.26,-.32,-.23,-.29,-.34,-.42,-.38,-.08,-.30,-.29,-.21,-.49,-1.12,-.30,-.27,-.26,-.25
1934,-.13,.00,-.26,.19,-.27,-.26,.65,.42,-.08,-.29,-.26,-.16,-.38,-.55,-.24,-.24,-.12,-.06
1935,-.20,-.08,-.31,-.01,-.21,-.37,.18,.07,-.12,-.19,-.22,-.31,-.41,-1.69,-.07,-.25,-.23,-.18
1936,-.15,-.03,-.27,-.01,-.15,-.30,.17,.20,-.21,-.06,-.23,-.27,-.33,-.01,-.28,-.19,-.14,-.05
1937,-.03,.12,-.18,.19,-.06,-.22,.99,.10,.02,.02,-.14,-.20,-.25,.39,-.04,-.14,-.02,.10
1938,-.03,.12,-.19,.34,-.25,-.09,1.07,.45,.06,-.20,-.30,-.06,-.11,-.84,-.03,.01,-.11,.06
1939,-.02,.09,-.14,.24,-.15,-.12,.47,.34,.11,-.14,-.15,-.05,-.18,-1.58,-.12,-.11,-.07,-.01
1940,.12,.17,.08,.12,.26,-.06,.88,.05,-.06,.25,.27,.03,-.20,-.03,.18,.15,.09,.13
1941,.19,.23,.16,.03,.48,-.05,-.19,-.04,.13,.54,.43,.04,-.15,-.44,.27,.13,.16,.20
1942,.06,.11,.01,.10,.08,-.01,.29,-.01,.11,.12,.04,.06,-.05,-.88,.17,.10,.01,.01
1943,.08,.15,-.01,.33,-.09,.04,1.12,.29,.13,-.12,-.07,.07,.00,1.16,.06,.01,.01,.16
1944,.21,.27,.16,.38,.19,.07,.98,.51,.13,.11,.27,.19,-.09,-.22,.29,.22,.19,.22
1945,.09,.09,.10,.09,.17,-.02,.40,-.02,.07,.10,.25,.04,.00,-1.85,.04,.10,.10,.16
1946,-.07,.04,-.17,.07,-.05,-.24,-.18,-.01,.20,-.02,-.08,-.22,-.24,.02,.05,.00,-.17,-.06
